name_id,game_name
669,Attack of the Movies 3D
670,Attack on Titan
671,Attack on Titan / A.O.T. Wings of Freedom
672,Attack on Titan 2
673,Attack on Titan 2: Future Coordinates
674,Attack on Titan: Escape from Certain Death
675,Attack on Titan: The Last Wings of Mankind
676,Attempt[42]
677,ATV Drift & Tricks
678,ATV Offroad Fury
679,ATV Offroad Fury 2
680,ATV Offroad Fury 3
681,ATV Offroad Fury Pro
682,ATV Offroad Fury: Blazin' Trails
683,ATV Quad Kings
684,ATV Quad Power Racing 2
685,ATV Renegades
686,ATV: Quad Frenzy
687,ATV: Quad Power Racing
688,ATV/Monster Truck Mayhem
689,AudioSurf
690,Auto Destruct
691,Auto Modellista
692,Automobili Lamborghini
693,Avadon: The Black Fortress
694,Avalon Code
695,Avatar: The Last Airbender
696,Avatar: The Last Airbender - Into the Inferno
697,Avatar: The Last Airbender - The Burning Earth
698,Aven Colony
699,Away: Shuffle Dungeon
700,Axiom Verge
701,AXYOS
702,Ayakashi Gohan: Oomori!
703,Azada
704,Azure Dreams
705,Azure Striker Gunvolt
706,Azure Striker Gunvolt: Striker Pack
707,Azurik: Rise of Perathia
708,B-17: Fortress in the Sky
709,B-Boy
710,b.l.u.e.: Legend of Water
711,B's-LOG PartyÉ?¶
712,Baby Pals
713,Babysitting Mama
714,Babysitting Mania
715,Back At The Barnyard: Slop Bucket Games
716,Back to the Future: The Game
717,Backbreaker
718,Backstreet Billiards
719,Backyard Baseball
720,Backyard Baseball '09
721,Backyard Baseball '10
722,Backyard Baseball 2006
723,Backyard Basketball
724,Backyard Hockey
725,Backyard NBA Basketball
726,Backyard NFL Football
727,Backyard NFL Football '08
728,Backyard NFL Football '09
729,Backyard NFL Football '10
730,Backyard NFL Football 2006
731,Backyard Skateboarding 2006
732,Backyard Soccer
733,Backyard Sports Baseball 2007
734,Backyard Sports Football: Rookie Rush
735,Backyard Sports: Sandlot Sluggers
736,Backyard Wrestling 2: There Goes the Neighborhood
737,Backyard Wrestling: Don't Try This at Home
738,Bad Apple Wars
739,Bad Boys: Miami Takedown
740,Bad Rats: The Rats' Revenge
741,BADLAND: Game of the Year Edition
742,Bae Yong-joon to Manabu Kankokugo DS
743,Bahamut Lagoon
744,Baja: Edge of Control
745,Baja: Edge of Control HD
746,Bakemonogatari Portable
747,Baku Baku
748,Bakugan Battle Brawlers: Defenders of the Core
749,Bakugan: Battle Brawlers
750,Bakugan: Battle Trainer
751,Bakugan: Rise of the Resistance
752,Bakumatsu Koihana: Shinsengumi DS
753,Bakumatsu Renka: Karyuu Kenshi-den
754,Bakumatsu Rock
755,Bakumatsu Rock: Ultra Soul
756,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi
757,Bakusou Kyoudai Let's & Go!! Eternal Wings
758,Baldur's Gate
759,Baldur's Gate II: Shadows of Amn
760,Baldur's Gate II: Throne of Bhaal
761,Baldur's Gate: Dark Alliance
762,Baldur's Gate: Dark Alliance II
763,Baldur's Gate: Tales of the Sword Coast
764,Ball Breakers
765,Ballblazer Champions
766,Ballistic
767,Ballistic: Ecks vs. Sever
768,BallisticNG
769,Balloon Fight
770,Balloon Pop
771,Balloon Pop 2
772,Balls of Fury
773,Bamboo Blade: Sorekara no Chousen
774,Band Hero
775,Bangai-O Spirits
776,Banished
777,Banjo-Kazooie
778,Banjo-Kazooie: Grunty's Revenge
779,Banjo-Kazooie: Nuts & Bolts
780,Banjo-Pilot
781,Banjo-Tooie
782,Bank Heist
783,Banner Saga Trilogy
784,Banushi Life Game: Winner's Circle
785,Bara ni Kakusareshi Verite
786,Barbarian
787,Barbie and Her Sisters Puppy Rescue
788,Barbie and the Magic of Pegasus
789,Barbie and the Three Musketeers
790,Barbie as The Island Princess
791,Barbie as the Princess and the Pauper
792,Barbie Explorer
793,Barbie Fashion Show: An Eye for Style
794,Barbie Groovy Games
795,Barbie Horse Adventures: Blue Ribbon Race
796,Barbie Horse Adventures: Riding Camp
797,Barbie Horse Adventures: Wild Horse Rescue
798,Barbie in The 12 Dancing Princesses
799,Barbie Super Sports
800,Barbie Superpack: Secret Agent / Groovy Games
801,Barbie: Groom and Glam Pups
802,"Barbie: Jet, Set & Style!"
803,Barbie: Race & Ride
804,Barnstorming
805,Barnyard
806,Barnyard Blast: Swine of the Night
807,Baroque
808,Baseball
809,Baseball Advance
810,Baseball Blast!
811,Bases Loaded '96: Double Header
812,Basketball Hall of Fame Ultimate Hoops Challenge
813,Bass Hunter 64
814,Bass Landing
815,Bass Pro Shops: The Hunt
816,Bass Pro Shops: The Strike
817,Bass Pro Shops: The Strike - Championship Edition
818,Bass Rise
819,Bass Strike
820,Bassmasters 2000
821,Bastard!! Utsuro Naru Kamigami no Utsuwa
822,Bastion
823,Baten Kaitos Origins
824,Baten Kaitos: Eternal Wings and the Lost Ocean
825,Batman & Robin
826,Batman Begins
827,Batman Beyond: Return of the Joker
828,Batman Forever: The Arcade Game
829,Batman: A Telltale Game Series
830,Batman: Arkham Asylum
831,Batman: Arkham City
832,Batman: Arkham City Armored Edition
833,Batman: Arkham Knight
834,Batman: Arkham Origins
835,Batman: Arkham Origins Blackgate
836,Batman: Arkham VR
837,Batman: Dark Tomorrow
838,Batman: Gotham City Racer
839,Batman: Return to Arkham
840,Batman: Rise of Sin Tzu
841,Batman: The Brave and the Bold the Videogame
842,Batman: The Enemy Within
843,Batman: Vengeance
844,Battalion Wars
845,Battalion Wars 2
846,Battle Arena Toshinden
847,Battle Arena Toshinden 2
848,Battle Arena Toshinden 3
849,Battle Arena Toshinden Remix
850,Battle Arena Toshinden URA
851,Battle Assault 3 featuring Gundam Seed
852,Battle B-Daman
853,Battle Brothers
854,Battle Chasers: Nightwar
855,Battle Commander: Hachibushu Shura no Heihou
856,Battle Dodge Ball
857,Battle Engine Aquila
858,Battle Fantasia
859,Battle Garegga Rev.2016
860,Battle Hunter
861,Battle of Giants: Dinosaurs
862,Battle of Giants: Dinosaurs Strike
863,Battle of Giants: Dragons
864,Battle of Giants: Mutant Insects
865,Battle Princess of Arcadias
866,Battle Rage
867,Battle Ranch: Pigs vs Plants
868,Battle Robot Soul
869,Battle Royale Trainer
870,Battle Soccer: Field no Hasha
871,Battle Spirits: Digital Starter
872,Battle Spirits: Hero's Soul
873,Battle Spirits: Kiseki no Hasha
874,Battle Stadium D.O.N
875,Battle Stations
876,Battle Worlds: Kronos
877,BattleBlock Theater
878,Battleborn
879,BattleBots: Beyond the BattleBox
880,Battlebots: Design & Destroy
881,Battlefield 1
882,Battlefield 1942
883,Battlefield 1942: Secret Weapons of World War II
884,Battlefield 1942: The Road to Rome
885,Battlefield 1942: The WW II Anthology
886,Battlefield 2
887,Battlefield 2: Armored Fury
888,Battlefield 2: Euro Force
889,Battlefield 2: Modern Combat
890,Battlefield 2: Modern Combat(JP sales)
891,Battlefield 2: Special Forces
